MOVIE,DIRECTOR,ACTOR,GENRE
2,Shankar,Rajinikanth,"Action, Science Fiction, Fantasy"
Sarkar,A.R. Murugadoss,Vijay,"Action, Drama"
Ratsasan,Ram Kumar,Vishnu Vishal,"Action, Adventure, Thriller, Crime"
96,C. Prem Kumar,Vijay Sethupathi,Romance
Vada Chennai,Vetrimaaran,Dhanush,"Action, Crime, Drama"
Imaikkaa Nodigal,R. Ajay Gnanamuthu,Nayanthara,"Action, Thriller, Drama, Crime"
Pariyerum Perumal,Mari Selvaraj,Kathir,"Romance, Drama"
Kaala,Pa. Ranjith,Rajinikanth,"Action, Crime, Drama"
Thaanaa Serndha Koottam,Vignesh Shivan,Suriya,"Action, Comedy, Crime"
Adanga Maru,Karthik Thangavel,Jayam Ravi,"Action, Thriller, Crime"
Irumbu Thirai,P. S. Mithran,Arjun Sarja,"Thriller, Action"
Maari 2,Balaji Mohan,Dhanush,"Action, Comedy"
Kadaikutty Singam,Pandiraj,Karthi,"Romance, Comedy, Family, Action"
U Turn,Pawan Kumar,Samantha Ruth Prabhu,"Thriller, Horror, Crime"
Kolamavu Kokila,Nelson Dilipkumar,Nayanthara,"Comedy, Thriller"
Nota,Anand Shankar,Vijay Deverakonda,Drama
Sei,Raj Babu,Nakul,"Drama, Romance, Thriller"
Lakshmi,A. L. Vijay,Prabhu Deva,"Family, Drama, Comedy"
Goli Soda 2,S. D. Vijay Milton,Samuthirakani,"Drama, Action"
Seethakathi,Balaji Tharaneetharan,Vijay Sethupathi,"Comedy, Drama"
Mannar Vagaiyara,Boopathy Pandian,Vimal,"Comedy, Romance"
Kanaa,Arunraja Kamaraj,Aishwarya Rajesh,"Drama, Family"
Tik Tik Tik,Shakti Soundar Rajan,Jayam Ravi,"Science Fiction, Thriller, Adventure"
Thuppakki Munai,Dinesh Selvaraj,Vikram Prabhu,"Romance, Action, Thriller"
Chekka Chivantha Vaanam,Mani Ratnam,Arvind Swamy,"Action, Crime, Thriller"
Gulaebaghavali,Kalyaan,Prabhu Deva,"Comedy, Romance"
Kalakalappu 2,Sundar C,Jiiva,"Action, Comedy"
Bhaskar Oru Rascal,Siddique,Arvind Swamy,"Comedy, Action, Romance"
Iravukku Aayiram Kangal,Mu. Maran,Arulnithi,"Action, Crime, Thriller"
Mohini,Ramana Madhesh,Trisha Krishnan,"Comedy, Horror, Thriller"
Vishwaroopam II,Kamal Haasan,Kamal Haasan,"Action, Thriller"
Torchlight,Abdul Majith,Sadha,Drama
Nimir,Priyadarshan,Udhayanidhi Stalin,"Comedy, Thriller"
Saamy²,Hari,Vikram,"Action, Thriller, Romance"
Silukkuvarupatti Singam,Chella Ayyavu,Vishnu Vishal,"Action, Comedy"
Annanukku Jey,La. Rajkumar,Dinesh Ravi,"Comedy, Drama"
Naachiyaar,Bala,Jyothika,"Crime, Thriller"
Marainthirunthu Paarkum Marmam Enna,R. Rahesh,Dhruva,"Family, Crime, Romance"
Sandakozhi 2,N. Linguswamy,Vishal Krishna,"Family, Action, Romance"
Sketch,Vijay Chandar,Vikram,Action
Yemaali,V. Z. Durai,Samuthirakani,"Thriller, Romance"
Tamizh Padam 2,C. S. Amudhan,Shiva,Comedy
Kaatrin Mozhi,Radha Mohan,Jyothika,"Comedy, Drama"
Vandi,Rajesh Balachandiran,Vidharth,"Action, Thriller"
Mohana,Ra Anand,Rajendran,Comedy
Oru Nalla Naal Paathu Solren,P. Arumugakumar,Vijay Sethupathi,"Adventure, Comedy, Action"
Pyaar Prema Kaadhal,Elan,Harish Kalyan,"Romance, Drama, Comedy"
Iruttu Araiyil Murattu Kuthu,Santhosh P. Jayakumar,Gautham Karthik,"Comedy, Horror"
Seemaraja,Ponram,Sivakarthikeyan,"Drama, Comedy, Romance, Action"
Diya,A. L. Vijay,Sai Pallavi,"Thriller, Romance, Horror"
Onaaigal Jakkiradhai,JPR,Kabali Vishwanth,"Horror, Drama"
Semma Botha Aagatha,Badri Venkatesh,Atharvaa Murali,"Romance, Action, Comedy"
Savarakathi,G. R. Adithya,Ram,"Drama, Family"
Merku Thodarchi Malai,Lenin Bharathi,Antony,Drama
Aan Devathai,Thamira,Samuthirakani,"Drama, Family"
Mercury,Karthik Subbaraj,Prabhu Deva,"Thriller, Horror"
Nagesh Thiraiyarangam,Mohamad Issack,Aari Arjuna,"Romance, Horror"
Raja Ranguski,Dharani Dharan,Metro Shirish,"Crime, Thriller, Romance"
Junga,Gokul,Vijay Sethupathi,"Action, Comedy"
Sema,Vallikanth,G. V. Prakash Kumar,"Action, Comedy"
Johnny,P Vetriselvan,Prabhu,"Action, Drama"
X Videos,Sajo Sundar,Ajay Raj,"Drama, Thriller"
Aaruthra,Pa. Vijay,Pa. Vijay,Drama
Andhra Mess,Jai,Bharat Raj,"Thriller, Action"
Pakshi,Jagadeesan Subu,Lakshmi Priyaa,"Thriller, Adventure"
Thimiru Pudichavan,Ganeshaa,Vijay Antony,"Action, Drama"
Madura Veeran,P. G. Muthiah,Shanmuga Pandian,"Action, Family"
Odu Raja Odu,Nishanth Ravindaran,Guru Somasundaram,"Comedy, Drama"
Kalavani Mappillai,Gandhi Manivasagam,Dinesh Ravi,"Action, Comedy, Romance"
Kalari,Kiran Chand,Krishna Kulasekaran,"Action, Drama"
60 Vayadhu Maaniram,Radha Mohan,Vikram Prabhu,"Family, Drama"
Sollividava,Arjun Sarja,Chandan Kumar,"Action, Drama, Romance"
Merlin,Keera,Vishnu Priyan,Drama
Jarugandi,Pitchumani,Jai Sampath,"Romance, Comedy, Action"
Utharavu Maharaja,Asif Kuraishi,Udhaya,"Romance, Fantasy, Comedy"
Veera,K. Rajaraman,Krishna Kulasekaran,"Romance, Comedy"
Baaram,Priya Krishnaswamy,Raju,Drama
Dhachka,Devik Rathod,Rajendra Chawla,Drama
Kutram Nadanthathu Enna,Unknown,Nassar,
Kaali,Kiruthiga Udhayanidhi,Vijay Antony,"Action, Drama"
Genius,Suseenthiran,Roshan,Drama
Kalki,Dhilip Kumar,Kishore,"Drama, Romance, Science Fiction"
Vidhi Mathi Ultaa,Vijay Balaji,Rameez Raja,"Drama, Comedy"
Billa Pandi,Saravana Sakthi,R. K. Suresh,"Action, Romance"
Kathiruppor Pattiyal,Balaiya D. Rajasekhar,Sachin Mani,"Romance, Comedy"
Ivanukku Engeyo Macham Irukku,A. R. Mukesh,Vimal,"Comedy, Romance"
Kaathadi,Kalyaan,Avishek Karthik,"Action, Comedy"
TEN RUPEES NOTE,MURALIDHARAN,AAKASH,Comedy
Traffic Ramasamy,Vicky Anand,S. A. Chandrasekhar,Drama
Mr. Chandramouli,Thiru,Gautham Karthik,"Romance, Action, Family"
Oru Kuppai Kathai,Kaali Rangasamy,Dinesh,"Comedy, Drama"
Kasu Mela Kasu,K. S. Palani,Mayilsamy,"Comedy, Romance"
33km From KL,K. S. Umaagaanthan,Ben G,"Mystery, Thriller"
Amaavasai,Rakesh Sawant,Jai Akash,"Drama, Horror, Thriller"
Echcharikkai,K. M. Sarjun,Sathyaraj,"Crime, Thriller, Horror"
Melnaattu Marumagan,MSS,Rajkamal,Drama
Asuravadham,M. Maruthupandian,M. Sasikumar,Action
Vanjagar Ulagam,Manoj Beedha,Guru Somasundaram,"Action, Crime, Thriller"
Inba Twinkle Lilly,R K Vidyadaran,Saranya Ponvannan,"Comedy, Drama"
Maniyaar Kudumbam,Thambi Ramaiah,Umapathy Ramaiah,"Comedy, Romance"
Kaala Koothu,M. Nagarajan,Prasanna,"Drama, Romance, Thriller"
Ghajinikanth,Santhosh P. Jayakumar,Arya,"Family, Comedy, Romance"
Vedigundu Pasangge,Vimala Perumal,Denes Kumar,"Comedy, Romance, Drama, Family"
Nadodi Kanavu,Veera Selva,Mahendran,"Drama, Action, Romance"
Avalukkenna Azhagiya Mugam,A. Kesavan,Vijay Karthik,
Yenda Thalaiyila Yenna Vekkala,Vignesh Karthik,Azhar,"Fantasy, Romance, Comedy"
Panjumittai,S. P. Mohan,Ma Ka Pa Anand,"Romance, Comedy, Fantasy"
Enga Kattula Mazhai,Sribalaji,Sonu Gowda,"Comedy, Drama"
Neeyum Naanum,Unknown,Bala Ganapathi William,
Kadal Kuthiraigal,Pugazhenthi Thangaraj,Rohini,Drama
Abhiyum Anuvum,B. R. Vijayalakshmi,Tovino Thomas,"Drama, Romance"
Villavan,Vassan,Vinod Mohana Sundaram,"Action, Adventure"
Padai Veeran,Dhana,Vijay Yesudas,"Drama, Action"
Pakka,S. S. Surya,Vikram Prabhu,"Comedy, Action"
Thirudathey Papa Thirudathey,Shalini Balasundaram,Saresh D7,"Romance, Comedy, Drama"
Atcham Thavir,S. S. Vikneshwaran,S. Gana,Thriller
Kaatu Paya Sir Intha Kaali,Youreka,V.G. Jaiwanth,"Drama, Action"
The Boy,Arunkumar Senthil,Vinodhini Vaidyanathan,Family
Koottali,SK Mathi,Sathish,"Romance, Crime, Thriller"
Meendum Vaa Arugil Vaa,J. Jaya Rajendra Cholan,Santhosh Prathap,"Thriller, Horror"
Variyavan,Karthik Gopal,Parthy KL,Drama
Pei Irukka Illaya,Pa. Ranjith Kumar,Livingston,"Comedy, Horror"
Bodha,Suresh G,Vicky,"Comedy, Crime"
Ezhumin,VP Viji,Vivek,Action
Sughamaai Subbulakshmi,Karthik Shamalan,Saresh D7,"Comedy, Drama, Romance"
Amutha,P. S. Arjun,Sriya Sree,"Thriller, Crime, Music"
Keni,Nishad M A,Jaya Prada,Drama
Vinodhan,Victor Jayaraj,Varun Kamal,Drama
Kilambitaangayaa Kilambitaangayaa,Razak,K. Bhagyaraj,"Comedy, Drama"
Koothan,Venky Al,La. Rajkumar,"Drama, Romance"
Saranalayam,Irasu Jaganathan,Ashwin Kumar,"Thriller, Action, Romance"
Kadikara Manithargal,Vaigarai Balan,Karunakaran,"Drama, Family, Romance"
Manusangada,Amshan Kumar,Rajeev Anand,Drama
Aaraam Thinai,Unknown,Ravi Mariya,
Vinveli Payana Kurippugal,R. Jayaprakash,Athvik Jalandhar,"Thriller, Comedy"
Ghora,Devendran Arunasalam,Karnan GCrak,Horror
